"Instrument,Mean,Median,Std.,Var,Spectral Centroid,Spectral roll-off"
"TUNING_FORK,-0.008606791,-0.013046265,0.171682935,0.02947503,0.020808548,0.017687266"
"TUNING_FORK,-0.006001234,-0.011108398,0.17125493,0.029328251,0.020677777,0.017576111"
"TUNING_FORK,0.002269149,0.008087158,0.166073574,0.027580432,0.020490366,0.017416811"
"TUNING_FORK,0.005319238,0.012832642,0.171974405,0.029575196,0.020449521,0.017382093"
"TUNING_FORK,0.005856514,0.017715454,0.168543037,0.028406755,0.020257082,0.01721852"
"TUNING_FORK,-0.001894712,-0.001663208,0.166728305,0.027798328,0.02019826,0.017168521"
"TUNING_FORK,-0.010029793,-0.01625061,0.163878612,0.0268562,0.019892485,0.016908612"
"TUNING_FORK,-0.002791286,-0.004180908,0.157902083,0.024933068,0.019839584,0.016863646"
"TUNING_FORK,0.007050276,0.015853882,0.158607434,0.025156318,0.019682353,0.01673"
"TUNING_FORK,0.003621697,0.014877319,0.154419794,0.023845473,0.019440235,0.0165242"
"TUNING_FORK,0.00114882,0.004806519,0.149536885,0.02236128,0.01927597,0.016384575"
"TUNING_FORK,-0.007512689,-0.011688232,0.153469265,0.023552815,0.019079078,0.016217216"
"TUNING_FORK,-0.00566268,-0.010116577,0.158302726,0.025059753,0.019023804,0.016170233"
"TUNING_FORK,0.003961682,0.015014648,0.156361966,0.024449064,0.018868572,0.016038286"
"TUNING_FORK,0.005827785,0.012039185,0.153534461,0.023572831,0.01874934,0.015936939"
"TUNING_FORK,0.004561901,0.012832642,0.150085699,0.022525717,0.018713706,0.01590665"
"TUNING_FORK,-0.001648307,-0.000930786,0.154618669,0.023906933,0.018648304,0.015851059"
"TUNING_FORK,-0.005631924,-0.008636475,0.157942692,0.024945894,0.018544487,0.015762814"
"TUNING_FORK,-0.005306244,-0.008636475,0.155918043,0.024310436,0.018521276,0.015743085"
"TUNING_FORK,0.003379464,0.011413574,0.15498645,0.0240208,0.018409075,0.015647714"
"TUNING_FORK,0.005405903,0.013183594,0.15365631,0.023610262,0.018223098,0.015489633"
"TUNING_FORK,0.005042911,0.017929077,0.154699111,0.023931815,0.018120212,0.015402181"
"TUNING_FORK,-0.000746489,-0.003692627,0.156781511,0.024580442,0.018100352,0.015385299"
"TUNING_FORK,-0.007377744,-0.013290405,0.158515764,0.025127247,0.018051587,0.015343849"
"TUNING_FORK,-0.004936337,-0.010025024,0.1544261,0.02384742,0.017889016,0.015205664"
"TUNING_FORK,0.004438519,0.013290405,0.151653653,0.022998831,0.017677056,0.015025497"
"TUNING_FORK,0.006044745,0.013046265,0.154914289,0.023998437,0.017537469,0.014906848"
"TUNING_FORK,0.00451684,0.018569946,0.150031282,0.022509385,0.017429562,0.014815128"
"TUNING_FORK,-0.002509832,-0.007217407,0.147592505,0.021783548,0.01731269,0.014715787"
"TUNING_FORK,-0.009057522,-0.015167236,0.150959053,0.022788636,0.017234582,0.014649395"
"TUNING_FORK,0.000579,0.00177002,0.149477082,0.022343398,0.017095622,0.014531279"
"TUNING_FORK,0.004966736,0.012878418,0.149011687,0.022204483,0.016957624,0.014413981"
"TUNING_FORK,0.005548596,0.010971069,0.147024727,0.02161627,0.016896477,0.014362006"
"TUNING_FORK,0.002115488,0.004623413,0.143022592,0.020455462,0.016791822,0.014273049"
"TUNING_FORK,-0.006848097,-0.010604858,0.143658089,0.020637647,0.016683489,0.014180966"
"TUNING_FORK,-0.004849672,-0.009841919,0.141441955,0.020005827,0.016608753,0.01411744"
"TUNING_FORK,0.001906514,0.00680542,0.1361743,0.01854344,0.016546417,0.014064454"
"TUNING_FORK,0.004840016,0.012359619,0.140042316,0.01961185,0.016445881,0.013978999"
"TUNING_FORK,0.004363298,0.016220093,0.139972625,0.019592336,0.016326188,0.01387726"
"TUNING_FORK,0.001464128,0.00163269,0.136799869,0.018714204,0.016191992,0.013763193"
"TUNING_FORK,-0.007045746,-0.010467529,0.136412384,0.018608338,0.01609192,0.013678132"
"TUNING_FORK,-0.00558579,-0.009353638,0.135611373,0.018390444,0.015995673,0.013596322"
"TUNING_FORK,0.006056547,0.008834839,0.132643622,0.01759433,0.015904883,0.013519151"
"TUNING_FORK,0.002731919,0.012374878,0.133409265,0.017798032,0.015858396,0.013479637"
"TUNING_FORK,0.004056096,0.009643555,0.133156674,0.0177307,0.015794159,0.013425035"
"TUNING_FORK,0.000919938,0.001556396,0.133450452,0.017809023,0.015644975,0.013298229"
"TUNING_FORK,-0.005867243,-0.012023926,0.136246429,0.018563089,0.015528805,0.013199484"
"TUNING_FORK,-0.003983498,-0.006072998,0.133982567,0.017951328,0.01539026,0.013081721"
"TUNING_FORK,0.002956867,0.008346558,0.136374363,0.018597967,0.01528987,0.01299639"
"TUNING_FORK,0.004858375,0.009750366,0.136089054,0.018520231,0.015181246,0.012904059"
"TUNING_FORK,0.005212069,0.01612854,0.137146061,0.018809042,0.01505752,0.012798892"
"TUNING_FORK,-0.001644731,-0.006729126,0.136091293,0.01852084,0.014958239,0.012714503"
"TUNING_FORK,-0.005442262,-0.004379272,0.137654061,0.018948641,0.014832773,0.012607857"
"TUNING_FORK,-0.001769066,-0.005020142,0.135804827,0.018442951,0.014729677,0.012520226"
"TUNING_FORK,0.001934052,0.01222229,0.132286388,0.017499688,0.0146202,0.01242717"
"TUNING_FORK,0.006499529,0.012115479,0.127052507,0.01614234,0.014509983,0.012333486"
"TUNING_FORK,0.003989458,0.011810303,0.127059941,0.016144229,0.014410676,0.012249075"
"TUNING_FORK,-0.008234739,-0.011413574,0.127137123,0.016163848,0.014301449,0.012156231"
"TUNING_FORK,-0.000913739,-0.006622314,0.123969582,0.015368457,0.014194148,0.012065026"
"TUNING_FORK,0.000931025,0.007843018,0.117187944,0.013733014,0.014093153,0.01197918"
"TUNING_FORK,0.004477978,0.011413574,0.116567886,0.013588072,0.01399107,0.011892409"
"TUNING_FORK,0.00530982,0.009185791,0.122448995,0.014993756,0.013893325,0.011809326"
"TUNING_FORK,-0.004351974,-0.011520386,0.128064309,0.016400467,0.013792398,0.011723539"
"TUNING_FORK,-0.005646348,-0.010635376,0.131183092,0.017209004,0.013695545,0.011641213"
"TUNING_FORK,0.000186086,0.001403809,0.129287723,0.016715315,0.013599213,0.011559331"
"TUNING_FORK,0.005400777,0.013336182,0.133458431,0.017811153,0.013506574,0.011480588"
"TUNING_FORK,0.005966187,0.014938354,0.13468824,0.018140922,0.013414649,0.011402452"
"TUNING_FORK,-0.000404954,0.001052856,0.130402377,0.01700478,0.013325264,0.011326474"
"TUNING_FORK,-0.006124735,-0.008712769,0.132496098,0.017555216,0.01323711,0.011251544"
"TUNING_FORK,-0.00161171,-0.00831604,0.13412249,0.017988842,0.013148803,0.011176482"
"TUNING_FORK,0.001184106,0.002685547,0.123807779,0.015328366,0.013062507,0.011103131"
"TUNING_FORK,0.004973412,0.011764526,0.128486009,0.016508655,0.012976801,0.011030281"
"TUNING_FORK,0.005719066,0.014709473,0.130272081,0.016970815,0.012893501,0.010959476"
"TUNING_FORK,-0.004440427,-0.005844116,0.128075131,0.016403239,0.012812004,0.010890203"
"TUNING_FORK,-0.003135085,-0.005767822,0.13573527,0.018424064,0.012731254,0.010821566"
"TUNING_FORK,-0.003564239,-0.004318237,0.129847673,0.016860418,0.012650693,0.010753089"
"TUNING_FORK,0.006256342,0.016784668,0.13200116,0.017424306,0.012572093,0.010686279"
"TUNING_FORK,0.004416704,0.015029907,0.132455911,0.017544568,0.012494097,0.010619983"
"TUNING_FORK,-0.000753284,0.000228882,0.129091992,0.016664743,0.012418725,0.010555917"
"TUNING_FORK,-0.004857183,-0.008804321,0.132481605,0.017551376,0.012344663,0.010492963"
"TUNING_FORK,-0.003434777,-0.003494263,0.127529528,0.016263781,0.012270744,0.010430132"
"TUNING_FORK,0.005643964,0.011444092,0.128276272,0.016454802,0.012198621,0.010368828"
"TUNING_FORK,0.006519318,0.015457153,0.127835413,0.016341893,0.012125702,0.010306847"
"TUNING_FORK,-0.001347542,-0.000839233,0.124998673,0.015624668,0.012054775,0.010246558"
"TUNING_FORK,-0.004408717,-0.009338379,0.126903887,0.016104597,0.01198284,0.010185414"
"TUNING_FORK,-0.004403114,-0.008407593,0.122189984,0.014930392,0.011915976,0.010128579"
"TUNING_FORK,0.00227499,0.00743103,0.123298455,0.015202509,0.011847916,0.010070729"
"TUNING_FORK,0.00592494,0.009719849,0.125467922,0.015742199,0.011783103,0.010015638"
"TUNING_FORK,0.004595518,0.012832642,0.122511406,0.015009045,0.011715645,0.009958299"
"TUNING_FORK,-0.007216573,-0.013397217,0.120425692,0.014502347,0.01164911,0.009901743"
"TUNING_FORK,-0.000615478,-0.000717163,0.12740833,0.016232883,0.011592524,0.009853645"
"TUNING_FORK,-0.002682447,-0.002593994,0.119951459,0.014388353,0.011529896,0.009800411"
"TUNING_FORK,0.006438255,0.013824463,0.122161675,0.014923475,0.011470148,0.009749625"
"TUNING_FORK,0.004454732,0.016098022,0.121776651,0.014829553,0.011417297,0.009704702"
"TUNING_FORK,-0.004103422,-0.010742188,0.12298287,0.015124786,0.011350567,0.009647982"
